ID,CK_7,CK_14,CK_24,0.5N_5,0.5N_10,0.5N_15,1N_6,1N_9,1N_13,0.5SS_8,0.5SS_4,0.5SS_12,1SS_2,1SS_20,1SS_22,2SS_1,2SS_17,2SS_21,4SS_11,4SS_16,4SS_19,1CM_3,1CM_8,1CM_23
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptosporangiales|f__Streptosporangiaceae|g__Nonomuraea|s__Nonomuraea_maritima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011452,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales|f__Patulibacteraceae|g__Patulibacter|s__Patulibacter_medicamentivorans,0.0021877,0.0018681,0.0014974,0.0033658,0.0040965,0,0.0032692,0.0084203,0.0068498,0.0079728,0.0061472,0.0089589,0.007671,0.0034615,0.0086248,0.0075707,0.0084752,0.009142,0.0059175,0.0034868,0.0042312,0.0032798,0.0054111,0.0061983
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales|f__Thermoleophilaceae|g__Thermoleophilum|s__Thermoleophilum_album,0.0219683,0.0329924,0.0299424,0.0173832,0.0217155,0.0561522,0.0206507,0.024008,0.0371205,0.0348804,0.0118995,0.0366992,0.0354136,0.0381744,0.0254817,0.0228488,0.0526728,0.0520013,0.0302742,0.0112961,0.0136196,0.0173094,0.0347103,0.021394
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Chryseobacterium|s__Chryseobacterium_wanjuense,0.0040122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium|s__Sphingobacterium_cellulitidis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240492
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales|f__Roseiflexaceae|g__Kouleothrix|s__Kouleothrix_aurantiaca,0.0058668,0,0.0189265,0.0101828,0.0183372,0,0.0064248,0.0025384,0.0031511,0,0.0082207,0.0031965,0.007122,0.0030346,0,0.0118058,0.0036334,0,0.001237,0,0,0,0.0032942,0
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales|f__Sphaerobacteraceae|g__Nitrolancea|s__Nitrolancea_hollandica,0.0140226,0.0411384,0.0746706,0.0310901,0.0131837,0.0163476,0.0209837,0.0512634,0.0338001,0.0201667,0.0097846,0.0043478,0.0091485,0.0217668,0.0237664,0,0.0168109,0.0225213,0.0061838,0.0040149,0.0019513,0.0125977,0,0
k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Sphaerobacterales|f__Sphaerobacteraceae|g__Sphaerobacter|s__Sphaerobacter_thermophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067463,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_altitudinis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067869,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_cereus_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012438,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_litoralis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032115,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus_simplex,0,0.0041194,0,0,0.0139435,0,0,0,0.0131183,0,0,0,0,0,0,0,0.0211167,0,0.0164559,0.0111191,0.0063941,0.0253295,0.0030347,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Quasibacillus|s__Quasibacillus_thermotolerans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0088312,0,0,0.0199609,0.0107901,0.0328221,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Exiguobacterium|s__Exiguobacterium_acetylicum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026521,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Exiguobacterium|s__Exiguobacterium_indicum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123948,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_amylolyticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134492,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae|g__Melghirimyces|s__Melghirimyces_thermohalophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008488,0,0.0592475,0.0159198,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae|g__Novibacillus|s__Novibacillus_thermophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181094,0.0214159,0,0,0.0162325,0.0161758,0.0168915,0.0242499,0.0056388,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae|g__Planifilum|s__Planifilum_fimeticola,0,0,0,0,0,0,0,0,0,0,0,0,0.0019793,0.004043,0,0.0134865,0.0018457,0.0060498,0.027385,0.0424749,0.0815358,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae|g__Planifilum|s__Planifilum_fulgidum,0,0,0,0,0,0,0,0,0,0,0,0.007717,0.016287,0,0.0340205,0.0326976,0.0549196,0.0232967,0.066405,0.0592001,0.1158483,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_suis,0.0025717,0,0,0,0,0.0919953,0.0036983,0,0,0,0,0,0,0,0,0,0,0,0.0018792,0.0015272,0.0087794,0,0,0
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Gemmataceae|g__Fimbriiglobus|s__Fimbriiglobus_ruber,0,0.0056571,0.0095332,0.0225845,0.0094448,0.0156376,0.007433,0.0143115,0.0208179,0.0082057,0.0250883,0.0079141,0.0177308,0.0067958,0.0402933,0.0031206,0.0170382,0.0092009,0.0031337,0.007745,0.0070206,0.0155469,0.0267352,0.0106869
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Isosphaeraceae|g__Paludisphaera|s__Paludisphaera_borealis,0.0081515,0.0068546,0.0085524,0.0069226,0.0115476,0.0062168,0,0.008536,0.0107005,0.0096596,0.0109281,0.0046042,0.0154785,0,0.0135405,0.0120394,0.0024694,0.007672,0.0039663,0.0068747,0.0067364,0.0035966,0.0104292,0
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Isosphaeraceae|g__Singulisphaera|s__Singulisphaera_acidiphila,0,0.0075512,0,0,0,0,0,0.0186608,0,0,0,0,0,0,0,0.0032412,0,0,0,0.0013493,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Afipia|s__Afipia_sp_Root123D2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101181,0.0039452,0.0158699,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bosea|s__Bosea_sp_Leaf344,0.006533,0.0283539,0,0,0,0.0070722,0,0,0,0.012686,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bosea|s__Bosea_vaviloviae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106263
